source,model_id,draw,eta,T_min,T_max,a,b,c,d,sigma_q,p_global,p_jump,fixed_T,gamma0,gamma1,latency_cap,max_steps,random_seed,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm,n_lists,mu_latency_raw_pooled,mu_latency_raw_pooled_r2,mu_latency_raw_pooled_n,mu_latency_raw_pooled_n_bins,mu_latency_median_norm,mu_latency_median_norm_r2,mu_latency_median_norm_n,mu_latency_median_norm_n_bins,mu_semantic_pooled,mu_semantic_pooled_r2,mu_semantic_pooled_n,mu_semantic_pooled_n_bins,mu_semantic_tail_quantile,mu_semantic_tail_n_total,mu_semantic_tail_frac,mu_semantic_tail_pooled,mu_semantic_tail_pooled_r2,mu_semantic_tail_pooled_n,mu_semantic_tail_pooled_n_bins,mu_latency_raw_pooled_ccdf,mu_latency_raw_pooled_ccdf_r2,mu_latency_raw_pooled_ccdf_n,mu_latency_raw_pooled_ccdf_n_bins,mu_latency_median_norm_ccdf,mu_latency_median_norm_ccdf_r2,mu_latency_median_norm_ccdf_n,mu_latency_median_norm_ccdf_n_bins
model,M0_frequency,0,0.5,0.5,3.0,0.0,2.0,0.0,0.0,0.35,0.25,0.15,1.5,-1.0,1.0,150,500,254287935,20.54,1.0713342575074443,0.08180919651628792,1.1642060911207166,0.21230883639774473,0.48357485886544743,-1.8318853668366695,0.16377074540861425,0.66,0.03324761920301023,0.6999597821075431,50.0,1.788693332316817,0.9658907562495419,1027.0,11.0,2.0293647430867106,0.9480566723433491,558.0,12.0,-4.488190876008434,0.26568355687116996,977.0,12.0,0.8,977.0,0.20061412487205732,33.00001074889616,0.7567928460729348,196.0,12.0,,,,,,,,
model,M0_frequency,1,0.5,0.5,3.0,0.0,2.0,0.0,0.0,0.35,0.25,0.15,1.5,-1.0,1.0,150,500,964634390,19.84,1.0698916726211407,0.08338055474787497,1.1620030630626763,0.21266312748662322,0.4839374125946436,-1.8221832545569183,0.16530132140728104,0.64,0.03436003429872053,0.8628732949326232,50.0,1.9971418640568108,0.9111193045748411,992.0,11.0,2.2978682314052716,0.8537387127534016,543.0,12.0,0.29224068389229346,0.0006801222480783409,942.0,12.0,0.8,942.0,0.20169851380042464,27.14562513934934,0.9114216882473346,190.0,10.0,,,,,,,,
model,M0_frequency,2,0.5,0.5,3.0,0.0,2.0,0.0,0.0,0.35,0.25,0.15,1.5,-1.0,1.0,150,500,414400648,20.72,1.0752349884221568,0.08864835556052238,1.1780205599473665,0.20828158335659347,0.48280218207063724,-1.8031292195221258,0.16795013953234408,0.8,0.04162313738892687,0.7929248788096653,50.0,1.8727357989613835,0.9324522786679906,1036.0,11.0,2.1394757069669694,0.9207294618394778,570.0,12.0,-4.254077190651349,0.27889708482648545,986.0,12.0,0.8,986.0,0.20385395537525355,27.136653466066498,0.832663753925303,201.0,11.0,,,,,,,,
model,M0_frequency,3,0.5,0.5,3.0,0.0,2.0,0.0,0.0,0.35,0.25,0.15,1.5,-1.0,1.0,150,500,29516917,20.42,1.0716425841889536,0.08470241220156119,1.1680342047976493,0.21235403294526325,0.48356090617464725,-1.7868405863435064,0.17062768902242936,0.66,0.03448608833173378,0.7313163843061281,50.0,1.780813357592428,0.9762539417332444,1021.0,11.0,1.9253789516981634,0.9665111232168891,556.0,12.0,-3.5983505406620813,0.1674032550581065,971.0,12.0,0.8,971.0,0.20185375901132852,26.497322392861633,0.8116384659852058,196.0,11.0,,,,,,,,
model,M0_frequency,4,0.5,0.5,3.0,0.0,2.0,0.0,0.0,0.35,0.25,0.15,1.5,-1.0,1.0,150,500,947574746,20.14,1.0762732420038452,0.08087357012281475,1.1713418157736266,0.2104180274078981,0.4824194945338951,-1.8015073685758372,0.16902467470059207,0.52,0.026808289032276104,0.6644817894361601,50.0,1.8103449724379927,0.9495901999341441,1007.0,11.0,1.9982305532934581,0.9328283703866125,552.0,12.0,-7.101955591222598,0.6586360426435149,957.0,9.0,0.8,957.0,0.20167189132706373,32.54440068904191,0.8373427124093193,193.0,12.0,,,,,,,,
model,M0_frequency,5,0.5,0.5,3.0,0.0,2.0,0.0,0.0,0.35,0.25,0.15,1.5,-1.0,1.0,150,500,590720742,20.48,1.0730841730883296,0.08980892832990982,1.1722737591221992,0.21043357021749132,0.4833330133340826,-1.827587343660112,0.16387689467421013,0.84,0.04411420734856594,0.8956380832068356,50.0,1.777754712591416,0.9736014769427027,1024.0,11.0,1.8708888899939784,0.9645986960473886,560.0,12.0,-3.671068834218247,0.1941664080937473,974.0,12.0,0.8,974.0,0.2002053388090349,28.222226751681333,0.6831076888868426,195.0,12.0,,,,,,,,
model,M0_frequency,6,0.5,0.5,3.0,0.0,2.0,0.0,0.0,0.35,0.25,0.15,1.5,-1.0,1.0,150,500,684734373,20.4,1.0703116938912638,0.08650110015362168,1.1671485800629675,0.2105164309188067,0.4839016790862376,-1.8717149927853012,0.15754736465209973,0.66,0.03368603721774404,0.736542484672559,50.0,1.8664635794018185,0.9643100283436177,1020.0,11.0,2.0313726197650186,0.9440879605125039,551.0,12.0,-6.138370002534076,0.4081211463032868,970.0,12.0,0.8,970.0,0.20309278350515464,29.47060526635692,0.7773985234740113,197.0,12.0,,,,,,,,
model,M0_frequency,7,0.5,0.5,3.0,0.0,2.0,0.0,0.0,0.35,0.25,0.15,1.5,-1.0,1.0,150,500,348847416,20.22,1.06626196078444,0.08865630026404381,1.164636413502567,0.20928291394222204,0.4848943996641044,-1.777082314921426,0.17297548227843532,0.84,0.04578506907235538,0.9635773879704368,50.0,1.853976329117153,0.9433425802557646,1011.0,12.0,2.2372990169236586,0.8946003982770498,535.0,12.0,-4.154059464062251,0.2590318405229346,961.0,12.0,0.8,961.0,0.20395421436004163,31.059710960513737,0.8523469377418343,196.0,12.0,,,,,,,,
model,M0_frequency,8,0.5,0.5,3.0,0.0,2.0,0.0,0.0,0.35,0.25,0.15,1.5,-1.0,1.0,150,500,120662927,20.16,1.070415471580863,0.08922102318288695,1.168350890312236,0.21210835170348563,0.4839554418595858,-1.8011580654691626,0.16928182808071313,0.94,0.05043803232408697,1.0792556890697294,50.0,1.7652423987213754,0.9523503652010881,1008.0,12.0,2.0095176651943936,0.9282093350786987,540.0,12.0,-3.361468346429006,0.1468562099896754,958.0,12.0,0.8,958.0,0.20041753653444677,30.351063586453332,0.7765300057289518,192.0,12.0,,,,,,,,
model,M0_frequency,9,0.5,0.5,3.0,0.0,2.0,0.0,0.0,0.35,0.25,0.15,1.5,-1.0,1.0,150,500,946491874,20.22,1.0736767020062679,0.08381205223525993,1.1697107326294884,0.20711259694225095,0.4830819766857513,-1.806040997268053,0.1679813382249014,0.58,0.030735192822014736,0.7035773879704368,50.0,1.8167102602901013,0.9757943257872411,1011.0,11.0,1.9869877243713918,0.9553071783300937,553.0,12.0,-4.394833506150621,0.28542255695520724,961.0,12.0,0.8,961.0,0.2008324661810614,23.914098321364513,0.8039590357166876,193.0,12.0,,,,,,,,
