source,subject,trial,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm
human,oaf_10004,1.10004,21.0,0.9579597352942248,0.11891793949003425,1.0919540210312775,0.23076923076923078,0.5125048567580163,-1.367512972417413,0.25473971708670545,3.0,0.15,2.9197594736796333
human,oaf_10004,3.10004,16.0,1.0489301405093856,0.11446538342987173,1.1618823801349998,0.25,0.4895546608971004,-1.5449644289068507,0.21331945909430997,3.0,0.2,4.226284565287348
human,oaf_10004,4.10004,17.0,1.0423460218820053,0.11481543627661697,1.1732172043599478,0.1875,0.4911291642858773,-1.3484054084031563,0.25965397275034074,3.0,0.1875,3.964979546965805
human,oaf_10012,1.10012,17.0,1.0119359199579947,0.1305083534597082,1.178471089601908,0.21428571428571427,0.49894970229848495,-1.8696862363458273,0.15417202780580522,2.0,0.125,2.964979546965805
human,oaf_10015,1.10015,24.0,1.0202335081027232,0.1177339516482426,1.148196484498106,0.2222222222222222,0.49664216226432756,-1.5654070071646382,0.209002930169752,3.0,0.13043478260869565,2.135844418715004
human,oaf_10020,1.1002,4.0,0.9685567158237175,0.14680517019800088,1.0867875639139912,0.3333333333333333,0.5098743924743371,-1.5769132563344437,0.20661187280891918,1.0,0.3333333333333333,5.361944785145864
human,oaf_10033,1.10033,14.0,1.0536986671267814,0.08933144573592056,1.1469706295104842,0.23076923076923078,0.48782650883252204,-1.4565012678128013,0.23305023033521785,2.0,0.15384615384615385,3.7488946019304343
human,oaf_10033,3.10033,10.0,1.1655173166083643,0.15880036720199336,1.2801372046599713,0.2857142857142857,0.46419701418930553,-1.8984283112439357,0.14980387936916245,1.0,0.1111111111111111,3.794114675216606
human,oaf_10034,1.10034,20.0,1.0488342814905336,0.13302230061705095,1.2051630301153555,0.2,0.49004333974427383,-1.5887101661473526,0.20418881159720687,4.0,0.21052631578947367,4.181064492001176
human,oaf_10034,3.10034,20.0,0.9312859447929575,0.11791608222989833,1.0267557444156623,0.23076923076923078,0.5195712562714383,-1.6626097849072135,0.18964340521418838,5.0,0.2631578947368421,5.181064492001176
human,oaf_10050,1.1005,10.0,1.0005699092366527,0.10125988525742374,1.108542777816538,0.2857142857142857,0.5009893919476273,-1.6998406209430101,0.18271264230088358,3.0,0.3333333333333333,5.794114675216607
human,oaf_10093,1.10093,16.0,1.0160999520722789,0.11230138821797091,1.142242716227056,0.23076923076923078,0.49741437914697545,-1.489992735107175,0.22537429285357438,2.0,0.13333333333333333,3.226284565287348
human,oaf_10111,1.10111,29.0,0.9956817463421475,0.13961206758942926,1.1576657760954348,0.23529411764705882,0.5033913163975945,-1.543701994191032,0.21358893104461377,10.0,0.35714285714285715,7.829319327107289
