source,model_id,draw,eta,T_min,T_max,a,b,c,d,sigma_q,p_global,p_jump,fixed_T,gamma0,gamma1,latency_cap,max_steps,random_seed,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm,n_lists,mu_latency_raw_pooled,mu_latency_raw_pooled_r2,mu_latency_raw_pooled_n,mu_latency_raw_pooled_n_bins,mu_latency_median_norm,mu_latency_median_norm_r2,mu_latency_median_norm_n,mu_latency_median_norm_n_bins,mu_semantic_pooled,mu_semantic_pooled_r2,mu_semantic_pooled_n,mu_semantic_pooled_n_bins,mu_semantic_tail_quantile,mu_semantic_tail_n_total,mu_semantic_tail_frac,mu_semantic_tail_pooled,mu_semantic_tail_pooled_r2,mu_semantic_tail_pooled_n,mu_semantic_tail_pooled_n_bins,mu_latency_raw_pooled_ccdf,mu_latency_raw_pooled_ccdf_r2,mu_latency_raw_pooled_ccdf_n,mu_latency_raw_pooled_ccdf_n_bins,mu_latency_median_norm_ccdf,mu_latency_median_norm_ccdf_r2,mu_latency_median_norm_ccdf_n,mu_latency_median_norm_ccdf_n_bins,abc_distance
model,M4b_adaptive_T_global,34,0.6436141794040239,0.7754088808781321,3.691946353082012,0.2531966047506206,5.438104558174056,0.0,0.0,0.3881228191311707,0.25,0.15,1.5,-2.477730704903463,1.77462547843864,150,500,108388711,11.7,1.0119070656419191,0.1162632821243914,1.1210758733657775,0.2184286546786547,0.4988460884827086,-1.9891414093462203,0.1423353723793773,1.42,0.1365923243423243,3.769896144069983,50.0,1.4148523287027517,0.9416287300503348,585.0,11.0,1.914616089599344,0.915915683119151,309.0,12.0,-1.290530968319854,0.09579955817847,535.0,9.0,0.8,535.0,0.2037383177570093,18.74210522493934,0.8344281224712772,109.0,10.0,,,,,,,,,0.19789491888176033
model,M4b_adaptive_T_global,95,0.5065187221122291,0.8886107676139885,2.3073404212711237,0.4633909944468248,3.634015181603453,0.0,0.0,0.1647327035352512,0.25,0.15,1.5,-0.3563430677272312,1.0292242806044931,150,500,579975910,9.78,0.9971031648679968,0.1171923215605036,1.1008749030546818,0.22166470131176,0.5026516429562471,-2.1313244382865864,0.1259033685326546,1.2,0.1389702682937977,4.051601779247346,50.0,1.312851665734064,0.8708461585340208,489.0,12.0,2.1896959496407065,0.9317551277311122,257.0,12.0,-2.9058812597566597,0.2193157284696809,439.0,11.0,0.8,439.0,0.2004555808656036,20.90316981909233,0.789720706718514,88.0,12.0,,,,,,,,,0.3446513327623941
model,M4b_adaptive_T_global,735,0.48745858329505,0.4859996808196458,2.7397505399843327,0.1339829376673385,4.83071104154498,0.0,0.0,0.261884071054414,0.25,0.15,1.5,0.5610958999020816,0.5904433859206818,150,500,773192914,11.64,0.9995399703275476,0.1167083852996641,1.1135005719365818,0.2182176712176712,0.5020932388479217,-2.2392344942684197,0.1152102953721821,1.26,0.120556166056166,3.625574445169275,50.0,1.3777383179458025,0.8904346300345036,582.0,12.0,2.1780594184498683,0.9266751749455534,298.0,12.0,-4.392731348089326,0.6746949556006127,532.0,11.0,0.8,532.0,0.2011278195488721,20.087533975182065,0.6633571567814636,107.0,12.0,,,,,,,,,0.380679524018775
model,M4b_adaptive_T_global,968,0.2678035754605854,0.6522674794265184,2.400321680884888,-1.8035515373285391,4.7203164408306,0.0,0.0,0.3249474209811079,0.25,0.15,1.5,-0.8459204851370683,1.4000764981974223,150,500,635337892,11.08,0.9968309556623256,0.1177594048649245,1.11035477232404,0.2144794094794094,0.5027130950208403,-2.06137403478543,0.133219989807265,1.42,0.1513001998001998,3.93190525542934,50.0,1.4611636718128795,0.8817036563805943,554.0,12.0,2.330539946021575,0.9506491039861156,302.0,12.0,-3.8994101617424217,0.5280805399679236,504.0,10.0,0.8,504.0,0.2003968253968254,17.36230976556375,0.7331559735362956,101.0,12.0,,,,,,,,,0.3856766036681893
model,M4b_adaptive_T_global,43,0.1834557177704566,0.3804042444085129,2.503934977028018,-1.6980584007989123,2.5414492087795124,0.0,0.0,0.4973941208714855,0.25,0.15,1.5,-1.3123091233115574,2.5952608083628776,150,500,625581910,10.68,1.0088738252742653,0.1079671466326749,1.117746873295173,0.2190038572538572,0.4993165728396437,-2.000618804412197,0.1396988816495354,1.24,0.1422002164502164,3.856427262757957,50.0,1.485826362071048,0.918834207723747,534.0,12.0,2.048293936571775,0.9184468991103438,279.0,12.0,-5.11794642448198,0.5566937923668921,484.0,11.0,0.8,484.0,0.2024793388429752,21.516997433191992,0.7277084152446597,98.0,10.0,,,,,,,,,0.4079763507836184
model,M4b_adaptive_T_global,47,0.5777035068410801,1.0695282449084746,3.577038865903433,-0.3901381553928971,5.794247711280954,0.0,0.0,0.3594754941324265,0.25,0.15,1.5,-1.1979855328384907,1.531659091368612,150,500,577466106,11.22,1.0162304716032586,0.1122166191358886,1.1240180323548146,0.2233963030433618,0.4977425180663469,-2.0447657329696645,0.1348000341024123,1.1,0.1145666000666,3.575322552864324,50.0,1.5015635645698056,0.8778695905680868,561.0,12.0,2.464506253847306,0.8955384639338517,290.0,12.0,-4.978356755203521,0.7922746937364975,511.0,11.0,0.8,511.0,0.2035225048923679,16.852533233713174,0.5462050460898169,104.0,11.0,,,,,,,,,0.4173935628155615
model,M4b_adaptive_T_global,253,0.2544192272744641,1.0798106147178492,1.7129042090973527,0.0133929333693196,1.6099761696595014,0.0,0.0,0.3218536574754648,0.25,0.15,1.5,-2.040976395712,2.0484082234544396,150,500,934403960,12.5,0.9970941289964702,0.1166596074781136,1.1106601097357096,0.2153181034651622,0.5026907477427693,-2.0737843488785943,0.1315825863391825,1.5,0.1292807192807192,3.640852129412749,50.0,1.4516564648072152,0.9252939068863824,625.0,11.0,1.8449431978424151,0.9116029753982624,326.0,12.0,-4.040634562547376,0.4721179347707508,575.0,12.0,0.8,575.0,0.2,22.3375383085602,0.6953250582644854,115.0,12.0,,,,,,,,,0.43675779931827646
model,M4b_adaptive_T_global,461,0.2680012467428085,1.063800284973783,2.65181602403099,-1.7169105633965676,2.407679822735457,0.0,0.0,0.5614020415473693,0.25,0.15,1.5,-2.267538846760047,1.729213094827649,150,500,500785983,13.56,0.9986201226983896,0.1180883101955217,1.124998222745173,0.2182439276409864,0.5021369954610259,-2.168445646046545,0.1208558029043875,1.64,0.1333848537083831,3.5038688099919137,50.0,1.4699265797736123,0.9216598401929674,678.0,11.0,2.299023919045227,0.8832833343423057,358.0,12.0,-3.6712641523154943,0.4361187875103539,628.0,11.0,0.8,628.0,0.2038216560509554,21.106055285116984,0.8429841009435135,128.0,11.0,,,,,,,,,0.444679992200236
model,M4b_adaptive_T_global,931,0.4064908327525905,1.2829278183139174,1.9638155579059713,1.1426630133651146,5.446800881757292,0.0,0.0,0.5995188785099108,0.25,0.15,1.5,-2.8324226580177148,2.544041461648593,150,500,545789144,11.5,1.0130630696679248,0.1184792249139328,1.1260133163132433,0.2219359251859251,0.4987197478444231,-2.102696555336455,0.1274085483295819,0.98,0.0964539904539904,3.382157147734292,50.0,1.4255226968497574,0.9281313344200304,575.0,12.0,2.2569634686433817,0.9061454867239916,306.0,12.0,-4.490130502713768,0.6915051772737004,525.0,11.0,0.8,525.0,0.2152380952380952,14.489582075493722,0.5778658589569403,113.0,11.0,,,,,,,,,0.4474508141596336
model,M4b_adaptive_T_global,478,0.2490610248499689,0.7074301241955512,1.4029181183386146,0.6353474786354507,3.830562671783247,0.0,0.0,0.3894350211253105,0.25,0.15,1.5,-0.2447100745742343,1.1672140475101207,150,500,516607424,11.16,0.9996315481876714,0.118821633925113,1.1134918165166834,0.2273639693639693,0.5020256858420776,-2.0725228221811025,0.1302651792876647,1.42,0.146083916083916,3.911000853963616,50.0,1.3540309206063927,0.9336014712846098,558.0,12.0,2.021058039674439,0.9727951311791536,279.0,12.0,-5.339318049965435,0.7022318215142498,508.0,12.0,0.8,508.0,0.202755905511811,13.674033584583658,0.4302288730667869,103.0,10.0,,,,,,,,,0.46950186783173287
