ppc_draw,source_draw,abc_distance,eta,T_min,T_max,a,b,sigma_q,gamma0,gamma1,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm,n_lists,mu_latency_raw_pooled,mu_latency_raw_pooled_r2,mu_latency_raw_pooled_n,mu_latency_raw_pooled_n_bins,mu_latency_median_norm,mu_latency_median_norm_r2,mu_latency_median_norm_n,mu_latency_median_norm_n_bins,mu_semantic_pooled,mu_semantic_pooled_r2,mu_semantic_pooled_n,mu_semantic_pooled_n_bins,mu_semantic_tail_quantile,mu_semantic_tail_n_total,mu_semantic_tail_frac,mu_semantic_tail_pooled,mu_semantic_tail_pooled_r2,mu_semantic_tail_pooled_n,mu_semantic_tail_pooled_n_bins
0,735,0.380679524018775,0.48745858329505,0.4859996808196458,2.7397505399843327,0.1339829376673385,4.83071104154498,0.261884071054414,0.5610958999020816,0.5904433859206818,11.3,1.0053678181515686,0.11880025311705046,1.1191480547159056,0.22626714951714952,0.5006631375797369,-2.1186564244497275,0.1257214845235246,1.14,0.11412223887223888,3.594418151398601,50.0,1.3630577936577581,0.930182248166934,565.0,12.0,2.1037395148558735,0.9556985725334198,286.0,12.0,-3.810021419191338,0.5123751620545547,515.0,12.0,0.8,515.0,0.20388349514563106,25.565895969015738,0.7450884997992939,105.0,11.0
1,43,0.4079763507836184,0.1834557177704566,0.3804042444085129,2.503934977028018,-1.6980584007989123,2.5414492087795124,0.4973941208714855,-1.3123091233115574,2.5952608083628776,10.68,1.0039501846452732,0.10510528195500525,1.106619986176388,0.22128826728826728,0.5004674466851591,-1.9830279142788498,0.1418139012797746,1.32,0.14647169497169496,3.9364272627579573,50.0,1.3147740419719325,0.9339133985955456,534.0,12.0,1.7597376798776239,0.9444407936089002,282.0,12.0,-5.097709147348295,0.599428647141769,484.0,10.0,0.8,484.0,0.20041322314049587,18.61647381117684,0.49470181313809614,97.0,10.0
2,478,0.46950186783173287,0.2490610248499689,0.7074301241955512,1.4029181183386146,0.6353474786354507,3.830562671783247,0.3894350211253105,-0.2447100745742343,1.1672140475101207,11.88,0.9975443557628505,0.12061350979264479,1.109437790141611,0.21968720168720168,0.5026440389223193,-2.1297632512185922,0.12844567103493298,1.24,0.11453679653679653,3.5428612407721056,50.0,1.4280051432642458,0.9402698001765432,594.0,12.0,1.8782119435290592,0.9100545230787177,325.0,12.0,-3.6094765336573498,0.6181216979670308,544.0,10.0,0.8,544.0,0.20036764705882354,18.936700519679494,0.6035009812447163,109.0,12.0
3,253,0.43675779931827646,0.2544192272744641,1.0798106147178492,1.7129042090973527,0.0133929333693196,1.6099761696595014,0.3218536574754648,-2.040976395712,2.0484082234544396,13.1,0.9934906004514583,0.1312886161645859,1.124569164478644,0.21556099456099453,0.5040636609213442,-2.132591776855858,0.12477815314704067,1.42,0.11978155178155178,3.404069118419823,50.0,1.5659293813001467,0.9143275771373689,655.0,12.0,2.319387524931859,0.9420615192264803,338.0,12.0,-3.8809868545088078,0.7468355694428103,605.0,11.0,0.8,605.0,0.20826446280991737,15.528874696470565,0.528496780746451,126.0,12.0
4,95,0.3446513327623941,0.5065187221122291,0.8886107676139885,2.3073404212711237,0.4633909944468248,3.634015181603453,0.1647327035352512,-0.3563430677272312,1.0292242806044931,9.66,0.9876524067743202,0.12288195198064994,1.1002538576812995,0.22242479742479745,0.5052751135361383,-2.2178345686958165,0.11513078616075668,1.18,0.1436696636696637,4.062958381445931,50.0,1.3137822221032631,0.8962783411274149,483.0,12.0,2.037678861927008,0.9165476199846052,258.0,12.0,-3.847004437055128,0.39328812432326654,433.0,11.0,0.8,433.0,0.20092378752886836,15.775566335159027,0.591726670603214,87.0,10.0
5,47,0.4173935628155615,0.5777035068410801,1.0695282449084746,3.577038865903433,-0.3901381553928971,5.794247711280954,0.3594754941324265,-1.1979855328384907,1.531659091368612,11.4,1.0134222091509586,0.10482157574398589,1.1148284017661079,0.22074725274725274,0.49821461018463425,-1.9941014719657963,0.14121296175315434,1.06,0.10467454767454769,3.488287649566446,50.0,1.488979691141837,0.8809400920794096,570.0,12.0,1.7244334689628056,0.9467232028681714,304.0,11.0,-4.572125157025905,0.5953873880516094,520.0,10.0,0.8,520.0,0.20384615384615384,20.251974803249457,0.74878730587461,106.0,12.0
6,968,0.3856766036681893,0.2678035754605854,0.6522674794265184,2.400321680884888,-1.8035515373285391,4.7203164408306,0.3249474209811079,-0.8459204851370683,1.4000764981974223,10.38,0.9959565586261221,0.11674471869784267,1.106662239993911,0.23244577644577638,0.5029106107049985,-2.1110178175111844,0.13066641528994938,1.36,0.14748185148185147,4.05481876825442,50.0,1.3331845717057027,0.9227737442968438,519.0,12.0,2.2150737286784636,0.9004613830855879,264.0,12.0,-4.367567223448608,0.5221283085493527,469.0,12.0,0.8,469.0,0.20042643923240938,21.84278777296686,0.830683095576818,94.0,12.0
7,735,0.380679524018775,0.48745858329505,0.4859996808196458,2.7397505399843327,0.1339829376673385,4.83071104154498,0.261884071054414,0.5610958999020816,0.5904433859206818,10.84,1.0001880974587056,0.12316636175374475,1.1126544235359759,0.22893273393273395,0.5021170571052335,-2.2245533473740937,0.11582525762654755,1.0,0.1050985680985681,3.5746184598265103,50.0,1.4896839005672027,0.9005400799721504,542.0,12.0,2.3491534135967758,0.9191814642776109,272.0,12.0,-4.3252413732883825,0.6893631162772673,492.0,12.0,0.8,492.0,0.2032520325203252,20.121188249898474,0.5384330681711283,100.0,12.0
8,735,0.380679524018775,0.48745858329505,0.4859996808196458,2.7397505399843327,0.1339829376673385,4.83071104154498,0.261884071054414,0.5610958999020816,0.5904433859206818,11.16,0.9999150751888415,0.11433950989393636,1.10902398107344,0.22158341658341654,0.5019511077002142,-2.0755251111039064,0.13272682899819918,0.98,0.09882967032967033,3.4710008539636164,50.0,1.442679423909923,0.9056157144052527,558.0,12.0,2.352220829290663,0.9231167220333267,288.0,12.0,-4.686812527334064,0.7229517602141856,508.0,12.0,0.8,508.0,0.20078740157480315,21.806909456596664,0.5800577728872733,102.0,11.0
9,461,0.444679992200236,0.2680012467428085,1.063800284973783,2.65181602403099,-1.7169105633965676,2.407679822735457,0.5614020415473693,-2.267538846760047,1.729213094827649,13.68,0.9901005294319758,0.11999121832273767,1.110661616154052,0.21517426682364765,0.5045061566331607,-2.201093278760829,0.11816053172772722,1.28,0.10721470196470197,3.112512207793328,50.0,1.5892956952735116,0.9077887659400165,684.0,12.0,2.4572114289896194,0.9231629195416783,346.0,12.0,-3.6522559179985086,0.5056017387018196,634.0,11.0,0.8,634.0,0.20347003154574134,17.898740559299878,0.5833386118798973,129.0,11.0
10,968,0.3856766036681893,0.2678035754605854,0.6522674794265184,2.400321680884888,-1.8035515373285391,4.7203164408306,0.3249474209811079,-0.8459204851370683,1.4000764981974223,10.16,0.9984151332674123,0.11900161654313716,1.1096973099525265,0.22300302965008842,0.502310624586692,-2.111475640996248,0.12603026788717517,1.36,0.159025863025863,4.11230587228516,50.0,1.388468725205069,0.9250976595471062,508.0,12.0,2.0453675285585535,0.8898465154235029,271.0,12.0,-4.621598945552001,0.6896029816589742,458.0,11.0,0.8,458.0,0.20087336244541484,15.085650660545165,0.42730949320821643,92.0,10.0
11,253,0.43675779931827646,0.2544192272744641,1.0798106147178492,1.7129042090973527,0.0133929333693196,1.6099761696595014,0.3218536574754648,-2.040976395712,2.0484082234544396,13.3,0.9922234980195935,0.1278551265717622,1.1162557758507072,0.2166778091189856,0.5043695504430686,-2.1081574297951353,0.12997769992892383,1.4,0.11929277911630853,3.3318081147555136,50.0,1.483411144312733,0.9220056624345839,665.0,11.0,2.102135572773687,0.9324627270185009,339.0,12.0,-3.59212775730871,0.6206316372390221,615.0,12.0,0.8,615.0,0.2016260162601626,22.0340110589367,0.7833257416769019,124.0,12.0
12,461,0.444679992200236,0.2680012467428085,1.063800284973783,2.65181602403099,-1.7169105633965676,2.407679822735457,0.5614020415473693,-2.267538846760047,1.729213094827649,13.02,0.9863034872177665,0.11782974244425898,1.1063439966352633,0.22517586171997933,0.5053568183494103,-2.1190585583999355,0.12670646307321834,1.54,0.13680426762779704,3.5449735198855468,50.0,1.5487235906098074,0.8960052530449344,651.0,12.0,2.3237328913934294,0.9220625729340686,342.0,12.0,-4.575539754690894,0.7014058922366969,601.0,11.0,0.8,601.0,0.20133111480865223,20.425956944753164,0.7794727063710365,121.0,12.0
